"","id","dam","sire","Juv_Island","Juv_New_Anemone","Dam_Island","Dam_New_Anemone","Dam_Rank","Sire_Island","Sire_New_Anemone","Sire_Rank"
"61","2025_Perc_2171","2025_Perc_406","2025_Perc_392","Kimbe","270","Kimbe","258","M","Kimbe","258","F"
"62","2025_Perc_2389","2025_Perc_1431",NA,"Tuare","41","Tuare","179","F",NA,NA,NA
"63","2025_Perc_2319","2025_Perc_543","2025_Perc_545","Kimbe","23","Kimbe","157","M","Kimbe","157","F"
"64","2025_Perc_2495","2025_Perc_1162","2025_Perc_1188","Tuare","164","Tuare","93","M","Tuare","93","F"
"65","2025_Perc_2041","2025_Perc_811","2025_Perc_795","Kapepa","115","Kapepa","117","F","Kapepa","117","M"
"66","2025_Perc_2195","2025_Perc_371","2025_Perc_366","Kimbe","265","Kimbe","232","F","Kimbe","232","M"
"67","2025_Perc_2361","2025_Perc_163","2025_Perc_173","Kimbe","60","Kimbe","46","F","Kimbe","46","M"
"68","2025_Perc_2053","2025_Perc_280",NA,"Kapepa","168","Tuare","15","F",NA,NA,NA
"69","2025_Perc_2412","2025_Perc_538",NA,"Kimbe","107","Kimbe","163","M",NA,NA,NA
"70","2025_Perc_675","2025_Perc_849","2025_Perc_1435","Tuare","316","Kapepa","225","M","Kapepa","225","F"
"71","2025_Perc_2418","2025_Perc_38","2025_Perc_12","Kimbe","140","Kimbe","119","F","Kimbe","119","M"
"72","2025_Perc_2307","2025_Perc_1188",NA,"Tuare","430","Tuare","93","F",NA,NA,NA
"73","2025_Perc_2151","2025_Perc_1485",NA,"Tuare","263","Tuare","450","F",NA,NA,NA
"74","2025_Perc_2054","2025_Perc_1430","2025_Perc_1441","Kapepa","136","Tuare","183","M","Tuare","183","F"
"75","2025_Perc_2266","2025_Perc_1206",NA,"Kapepa","208","Tuare","165","F",NA,NA,NA
"76","2025_Perc_2268","2025_Perc_645","2025_Perc_645","Tuare","262","Tuare","210","SA","Tuare","210","SA"
"77","2025_Perc_2330","2025_Perc_163","2025_Perc_173","Kimbe","25","Kimbe","46","F","Kimbe","46","M"
"78","2025_Perc_2194","2025_Perc_442","2025_Perc_393","Kimbe","282","Kimbe","284","F","Kimbe","284","M"
"79","2025_Perc_2338","2025_Perc_214","2025_Perc_211","Kimbe","47","Kimbe","69","M","Kimbe","69","F"
"80","2025_Perc_2333","2025_Perc_157","2025_Perc_184","Kimbe","42","Kimbe","39","F","Kimbe","39","M"
"81","2025_Perc_2056","2025_Perc_1185","2025_Perc_1165","Tuare","421","Tuare","96","F","Tuare","96","M"
"82","2025_Perc_2028","2025_Perc_1109","2025_Perc_1124","Kapepa","172","Tuare","59","F","Tuare","59","M"
"83","2025_Perc_2350","2025_Perc_214","2025_Perc_211","Kimbe","27","Kimbe","69","M","Kimbe","69","F"
"84","2025_Perc_2475","2025_Perc_277","2025_Perc_1020","Tuare","110","Tuare","26","F","Tuare","26","M"
"85","2025_Perc_2155","2025_Perc_1013","2025_Perc_1026","Tuare","218","Tuare","34","F","Tuare","34","M"
"86","2025_Perc_2030","2025_Perc_1297","2025_Perc_1292","Tuare","461","Tuare","191","F","Tuare","191","M"
"87","2025_Perc_2163","2025_Perc_1311",NA,"Tuare","212","Tuare","169","M",NA,NA,NA
"88","2025_Perc_2429","2025_Perc_6",NA,"Kimbe","134","Kimbe","127","F",NA,NA,NA
"89","2025_Perc_2355","2025_Perc_197","2025_Perc_198","Kimbe","37","Kimbe","50","M","Kimbe","50","F"
"90","2025_Perc_1392","2025_Perc_996","2025_Perc_852","Tuare","323","Kapepa ","277","F","Kapepa ","277","M"
"91","2025_Perc_2226","2025_Perc_1532",NA,"Tuare","55","Tuare","454","M",NA,NA,NA
"92","2025_Perc_2448","2025_Perc_486","2025_Perc_485","Kimbe","129","Kimbe","148","M","Kimbe","148","F"
"93","2025_Perc_85","2025_Perc_19","2025_Perc_68","Kimbe","127","Kimbe","132","F","Kimbe","132","M"
"94","2025_Perc_2025","2025_Perc_1236","2025_Perc_1246","Kapepa","134","Tuare","119","F","Tuare","119","M"
"95","2025_Perc_2417","2025_Perc_94","2025_Perc_62","Kimbe","153","Kimbe","114","M","Kimbe","114","F"
"96","2025_Perc_2359","2025_Perc_174","2025_Perc_185","Kimbe","64","Kimbe","47","M","Kimbe","47","F"
"97","2025_Perc_2061","2025_Perc_1492","2025_Perc_1527","Tuare","433","Tuare","435","F","Tuare","435","M"
"98","2025_Perc_2381","2025_Perc_980",NA,"Tuare","17","Kapepa ","272","F",NA,NA,NA
"99","2025_Perc_2232","2025_Perc_1105","2025_Perc_1115","Tuare","59","Tuare","70","F","Tuare","70","M"
"100","2025_Perc_2336","2025_Perc_163","2025_Perc_173","Kimbe","39","Kimbe","46","F","Kimbe","46","M"
"101","2025_Perc_2343","2025_Perc_214","2025_Perc_211","Kimbe","49","Kimbe","69","M","Kimbe","69","F"
"102","2025_Perc_2049","2025_Perc_67",NA,"Kapepa","110","Kimbe","101","SA",NA,NA,NA
"103","2025_Perc_2312","2025_Perc_214","2025_Perc_211","Kimbe","10","Kimbe","69","M","Kimbe","69","F"
"104","2025_Perc_2406","2025_Perc_669","2025_Perc_614","Tuare","324","Tuare","223","M","Tuare","223","F"
"105","2025_Perc_2239","2025_Perc_1106","2025_Perc_1043","Tuare","69","Tuare","54","M","Tuare","54","F"
"106","2025_Perc_2245","2025_Perc_199","2025_Perc_208","Tuare","72","Kimbe","49","M","Kimbe","49","F"
"107","2025_Perc_2423","2025_Perc_526",NA,"Kimbe","125","Kimbe","146","F",NA,NA,NA
"108","2025_Perc_2048","2025_Perc_1309","2025_Perc_1316","Kapepa","141","Tuare","199","M","Tuare","199","F"
"109","2025_Perc_2422","2025_Perc_538","2025_Perc_555","Kimbe","152","Kimbe","163","M","Kimbe","163","F"
"110","2025_Perc_1717","2025_Perc_989","2025_Perc_963","Kapepa ","58","Kapepa ","273","M","Kapepa ","273","F"
"111","2025_Perc_2023","2025_Perc_1240","2025_Perc_1279","Tuare","451","Tuare","150","M","Tuare","150","F"
"112","2025_Perc_2199","2025_Perc_469","2025_Perc_457","Kimbe","209","Kimbe","274","M","Kimbe","274","F"
"113","2025_Perc_2182","2025_Perc_1515","2025_Perc_1519","Tuare","209","Tuare","442","M","Tuare","442","F"
"114","2025_Perc_2500","2025_Perc_1161","2025_Perc_1159","Tuare","130","Tuare","97","M","Tuare","97","F"
"115","2025_Perc_2265","2025_Perc_1295","2025_Perc_1322","Tuare","234","Tuare","180","F","Tuare","180","M"
"116","2025_Perc_2202","2025_Perc_371","2025_Perc_366","Kimbe","210","Kimbe","232","F","Kimbe","232","M"
"117","2025_Perc_2210","2025_Perc_477","2025_Perc_440","Kimbe","235","Kimbe","273","F","Kimbe","273","M"
"118","2025_Perc_2064","2025_Perc_1185","2025_Perc_1165","Tuare","421","Tuare","96","F","Tuare","96","M"
"119","2025_Perc_2369","2025_Perc_214","2025_Perc_211","Kimbe","80","Kimbe","69","M","Kimbe","69","F"
"120","2025_Perc_2289","2025_Perc_1296","2025_Perc_1308","Kapepa ","14","Tuare","178","F","Tuare","178","M"
"121","2025_Perc_2428","2025_Perc_224","2025_Perc_218","Kimbe","133","Kimbe","55","M","Kimbe","55","F"
"122","2025_Perc_2437","2025_Perc_23","2025_Perc_71","Kimbe","119","Kimbe","109","M","Kimbe","109","F"
"123","2025_Perc_2207","2025_Perc_371","2025_Perc_366","Kimbe","233","Kimbe","232","F","Kimbe","232","M"
"124","2025_Perc_2303","2025_Perc_393",NA,"Tuare","93","Kimbe","284","M",NA,NA,NA
"125","2025_Perc_2496","2025_Perc_849","2025_Perc_1435","Kapepa","235","Kapepa","225","M","Kapepa","225","F"
"126","2025_Perc_2298","2025_Perc_611","2025_Perc_603","Kapepa ","16","Tuare","203","M","Tuare","203","F"
"127","2025_Perc_2413","2025_Perc_538","2025_Perc_555","Kimbe","123","Kimbe","163","M","Kimbe","163","F"
"128","2025_Perc_2173","2025_Perc_371","2025_Perc_366","Kimbe","271","Kimbe","232","F","Kimbe","232","M"
